Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0048473	D-methionine transport	BIOLOGICAL_PROCESS	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0001716	L-amino-acid oxidase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0046658	anchored component of plasma membrane	CELLULAR_COMPONENT	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0004156	dihydropteroate synthase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0035725	sodium ion transmembrane transport	BIOLOGICAL_PROCESS	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0004792	thiosulfate sulfurtransferase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0032775	DNA methylation on adenine	BIOLOGICAL_PROCESS	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0016728	oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0036307	23S rRNA (adenine(2030)-N(6))-methyltransferase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0009289	pilus	CELLULAR_COMPONENT	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0015922	aspartate oxidase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0015968	stringent response	BIOLOGICAL_PROCESS	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0070003	threonine-type peptidase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0008988	rRNA (adenine-N6-)-methyltransferase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0031225	anchored component of membrane	CELLULAR_COMPONENT	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0005839	proteasome core complex	CELLULAR_COMPONENT	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0015771	trehalose transport	BIOLOGICAL_PROCESS	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0006885	regulation of pH	BIOLOGICAL_PROCESS	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0050138	nicotinate dehydrogenase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0004298	threonine-type endopeptidase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0009008	DNA-methyltransferase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0034024	glutamate-putrescine ligase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0008710	8-amino-7-oxononanoate synthase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0040009	regulation of growth rate	BIOLOGICAL_PROCESS	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0040008	regulation of growth	BIOLOGICAL_PROCESS	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0008734	L-aspartate oxidase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0008789	altronate dehydratase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0015081	sodium ion transmembrane transporter activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0044318	L-aspartate:fumarate oxidoreductase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[OVER]	GO:0061731	ribonucleoside-diphosphate reductase activity	MOLECULAR_FUNCTION	0.8026413740976532	0.014875049583429471	1	0	74	4967
[]	GO:0016889	endodeoxyribonuclease activity, producing 3'-phosphomonoesters	MOLECULAR_FUNCTION	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters	MOLECULAR_FUNCTION	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	MOLECULAR_FUNCTION	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0050797	thymidylate synthase (FAD) activity	MOLECULAR_FUNCTION	1.0	0.9999999999885643	0	1	75	4966
[]	GO:1902560	GMP reductase complex	CELLULAR_COMPONENT	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0006612	protein targeting to membrane	BIOLOGICAL_PROCESS	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0016882	cyclo-ligase activity	MOLECULAR_FUNCTION	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0016869	intramolecular transferase activity, transferring amino groups	MOLECULAR_FUNCTION	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0098713	leucine import across plasma membrane	BIOLOGICAL_PROCESS	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0036460	cellular response to cell envelope stress	BIOLOGICAL_PROCESS	1.0	0.9999999999885643	0	1	75	4966
[]	GO:0015591	D-ribose transmembrane transporter activity	MOLECULAR_FUNCTION	1.0	0.9999999999885643	0	1	75	4966
